City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port hedland,-20.3167,118.5667,78.85400000000006,57,71,9.26,AU,2022-11-06 20:47:34
1,ilulissat,69.2167,-51.1,-2.8299999999999415,94,39,3.11,GL,2022-11-06 20:44:14
2,puerto ayora,-0.7393,-90.3518,66.542,86,77,2.24,EC,2022-11-06 20:48:35
3,port hardy,50.6996,-127.4199,37.58000000000004,81,75,7.2,CA,2022-11-06 20:45:28
4,port macquarie,-31.4333,152.9167,69.89000000000001,61,71,4.45,AU,2022-11-06 20:45:13
5,bluff,-46.6,168.3333,65.80400000000006,64,90,8.74,NZ,2022-11-06 20:43:49
6,tuktoyaktuk,69.4541,-133.0374,6.800000000000001,78,20,5.66,CA,2022-11-06 20:48:36
7,lebu,-37.6167,-73.65,51.17000000000006,89,34,4.89,CL,2022-11-06 20:48:36
8,yellowknife,62.456,-114.3525,-1.4439999999999742,78,20,3.6,CA,2022-11-06 20:44:01
9,busselton,-33.65,115.3333,68.66600000000001,58,69,4.79,AU,2022-11-06 20:48:36
10,west wendover,40.7391,-114.0733,45.608000000000004,66,100,4.12,US,2022-11-06 20:44:18
11,bambous virieux,-20.3428,57.7575,71.85200000000007,83,40,1.54,MU,2022-11-06 20:48:37
12,hermanus,-34.4187,19.2345,63.806000000000026,81,100,4.83,ZA,2022-11-06 20:43:51
13,severo-kurilsk,50.6789,156.125,36.71600000000001,67,80,12.58,RU,2022-11-06 20:48:37
14,eskisehir,39.7767,30.5206,44.47400000000001,65,0,1.03,TR,2022-11-06 20:45:09
15,rikitea,-23.1203,-134.9692,72.06800000000008,82,100,6.67,PF,2022-11-06 20:47:59
16,mataura,-46.1927,168.8643,65.48000000000005,45,92,3.87,NZ,2022-11-06 20:48:37
17,pangnirtung,66.1451,-65.7125,4.046000000000049,66,0,2.78,CA,2022-11-06 20:48:38
18,ribeira grande,38.5167,-28.7,65.76800000000009,79,100,6.71,PT,2022-11-06 20:48:38
19,ushuaia,-54.8,-68.3,47.858000000000004,87,0,1.54,AR,2022-11-06 20:48:38
20,mbandaka,0.0487,18.2603,69.96200000000006,97,100,1.22,CD,2022-11-06 20:48:39
21,albany,42.6001,-73.9662,68.72000000000006,87,78,3.64,US,2022-11-06 20:48:39
22,ndele,8.4109,20.6473,76.96400000000003,49,86,0.89,CF,2022-11-06 20:48:39
23,dandong,40.1292,124.3947,45.89600000000005,94,100,1.71,CN,2022-11-06 20:48:40
24,kavaratti,10.5669,72.642,80.87000000000006,75,4,1.65,IN,2022-11-06 20:48:40
25,poso,-1.3959,120.7524,87.0260000000001,60,98,1.51,ID,2022-11-06 20:48:40
26,sinnamary,5.3833,-52.95,77.792,87,100,3.21,GF,2022-11-06 20:48:41
27,east london,-33.0153,27.9116,66.66800000000009,80,100,8.15,ZA,2022-11-06 20:45:06
28,nikolskoye,59.7035,30.7861,40.91000000000008,94,95,3.89,RU,2022-11-06 20:48:41
