,date,tobs
0,2016-08-23,81.0
1,2016-08-24,79.0
2,2016-08-25,80.0
3,2016-08-26,79.0
4,2016-08-27,77.0
5,2016-08-28,78.0
6,2016-08-29,78.0
7,2016-08-30,79.0
8,2016-08-31,80.0
9,2016-09-01,81.0
10,2016-09-02,80.0
11,2016-09-03,79.0
12,2016-09-04,75.0
13,2016-09-05,79.0
14,2016-09-06,76.0
15,2016-09-07,76.0
16,2016-09-08,80.0
17,2016-09-09,79.0
18,2016-09-10,78.0
19,2016-09-11,76.0
20,2016-09-12,78.0
21,2016-09-13,78.0
22,2016-09-14,75.0
23,2016-09-15,79.0
24,2016-09-16,80.0
25,2016-09-17,79.0
26,2016-09-18,81.0
27,2016-09-19,77.0
28,2016-09-20,77.0
29,2016-09-21,78.0
30,2016-09-22,76.0
31,2016-09-23,82.0
32,2016-09-24,81.0
33,2016-09-25,78.0
34,2016-09-26,80.0
35,2016-09-27,80.0
36,2016-09-28,79.0
37,2016-09-29,80.0
38,2016-09-30,80.0
39,2016-10-01,80.0
40,2016-10-02,79.0
41,2016-10-03,79.0
42,2016-10-04,79.0
43,2016-10-05,80.0
44,2016-10-06,80.0
45,2016-10-07,79.0
46,2016-10-08,78.0
47,2016-10-09,76.0
48,2016-10-10,75.0
49,2016-10-11,80.0
50,2016-10-12,80.0
51,2016-10-13,79.0
52,2016-10-14,80.0
53,2016-10-15,79.0
54,2016-10-16,78.0
55,2016-10-17,78.0
56,2016-10-18,80.0
57,2016-10-19,81.0
58,2016-10-20,79.0
59,2016-10-21,77.0
60,2016-10-22,79.0
61,2016-10-23,78.0
62,2016-10-24,77.0
63,2016-10-25,77.0
64,2016-10-26,78.0
65,2016-10-27,77.0
66,2016-10-28,78.0
67,2016-10-29,77.0
68,2016-10-30,76.0
69,2016-10-31,77.0
70,2016-11-01,77.0
71,2016-11-02,77.0
72,2016-11-03,77.0
73,2016-11-04,77.0
74,2016-11-05,76.0
75,2016-11-06,75.0
76,2016-11-07,71.0
77,2016-11-08,71.0
78,2016-11-09,71.0
79,2016-11-10,71.0
80,2016-11-11,72.0
81,2016-11-12,71.0
82,2016-11-13,72.0
83,2016-11-14,77.0
84,2016-11-15,77.0
85,2016-11-16,77.0
86,2016-11-17,77.0
87,2016-11-18,77.0
88,2016-11-19,75.0
89,2016-11-20,76.0
90,2016-11-21,76.0
91,2016-11-22,75.0
92,2016-11-23,72.0
93,2016-11-24,74.0
94,2016-11-25,75.0
95,2016-11-26,73.0
96,2016-11-27,76.0
97,2016-11-28,75.0
98,2016-11-29,68.0
99,2016-11-30,75.0
100,2016-12-01,75.0
101,2016-12-02,72.0
102,2016-12-03,69.0
103,2016-12-04,71.0
104,2016-12-05,68.0
105,2016-12-06,67.0
106,2016-12-07,69.0
107,2016-12-08,73.0
108,2016-12-09,70.0
109,2016-12-10,70.0
110,2016-12-11,70.0
111,2016-12-12,66.0
112,2016-12-13,67.0
113,2016-12-14,70.0
114,2016-12-15,66.0
115,2016-12-16,62.0
116,2016-12-17,71.0
117,2016-12-18,73.0
118,2016-12-19,69.0
119,2016-12-20,77.0
120,2016-12-21,74.0
121,2016-12-22,71.0
122,2016-12-23,72.0
123,2016-12-24,74.0
124,2016-12-25,74.0
125,2016-12-26,74.0
126,2016-12-27,74.0
127,2016-12-28,71.0
128,2016-12-29,73.0
129,2016-12-30,69.0
130,2016-12-31,66.0
131,2017-01-01,62.0
132,2017-01-02,66.0
133,2017-01-03,63.0
134,2017-01-04,62.0
135,2017-01-05,63.0
136,2017-01-06,64.0
137,2017-01-07,66.0
138,2017-01-08,60.0
139,2017-01-09,64.0
140,2017-01-10,63.0
141,2017-01-11,78.0
142,2017-01-12,67.0
143,2017-01-13,67.0
144,2017-01-14,65.0
145,2017-01-15,66.0
146,2017-01-16,67.0
147,2017-01-17,66.0
148,2017-01-18,72.0
149,2017-01-19,73.0
150,2017-01-20,71.0
151,2017-01-21,72.0
152,2017-01-22,72.0
153,2017-01-23,72.0
154,2017-01-24,69.0
155,2017-01-25,72.0
156,2017-01-26,71.0
157,2017-01-27,65.0
158,2017-01-28,64.0
159,2017-01-29,67.0
160,2017-01-30,67.0
161,2017-01-31,68.0
162,2017-02-01,70.0
163,2017-02-02,61.0
164,2017-02-03,65.0
165,2017-02-04,72.0
166,2017-02-05,73.0
167,2017-02-06,76.0
168,2017-02-07,64.0
169,2017-02-08,62.0
170,2017-02-09,61.0
171,2017-02-10,71.0
172,2017-02-11,69.0
173,2017-02-12,68.0
174,2017-02-13,74.0
175,2017-02-14,75.0
176,2017-02-15,75.0
177,2017-02-16,71.0
178,2017-02-17,71.0
179,2017-02-18,68.0
180,2017-02-19,69.0
181,2017-02-20,71.0
182,2017-02-21,70.0
183,2017-02-22,72.0
184,2017-02-23,74.0
185,2017-02-24,70.0
186,2017-02-25,64.0
187,2017-02-26,65.0
188,2017-02-27,72.0
189,2017-02-28,74.0
190,2017-03-01,66.0
191,2017-03-02,73.0
192,2017-03-03,69.0
193,2017-03-04,74.0
194,2017-03-05,71.0
195,2017-03-06,69.0
196,2017-03-07,68.0
197,2017-03-08,71.0
198,2017-03-09,72.0
199,2017-03-10,68.0
200,2017-03-11,71.0
201,2017-03-12,74.0
202,2017-03-13,71.0
203,2017-03-14,71.0
204,2017-03-15,71.0
205,2017-03-16,70.0
206,2017-03-17,72.0
207,2017-03-18,69.0
208,2017-03-19,73.0
209,2017-03-20,75.0
210,2017-03-21,75.0
211,2017-03-22,74.0
212,2017-03-23,70.0
213,2017-03-24,73.0
214,2017-03-25,76.0
215,2017-03-26,76.0
216,2017-03-27,75.0
217,2017-03-28,77.0
218,2017-03-29,76.0
219,2017-03-30,77.0
220,2017-03-31,76.0
221,2017-04-01,76.0
222,2017-04-02,76.0
223,2017-04-03,77.0
224,2017-04-04,76.0
225,2017-04-05,78.0
226,2017-04-06,77.0
227,2017-04-07,77.0
228,2017-04-08,77.0
229,2017-04-09,72.0
230,2017-04-10,75.0
231,2017-04-11,79.0
232,2017-04-12,78.0
233,2017-04-13,77.0
234,2017-04-14,75.0
235,2017-04-15,73.0
236,2017-04-16,74.0
237,2017-04-17,74.0
238,2017-04-18,75.0
239,2017-04-19,74.0
240,2017-04-20,78.0
241,2017-04-21,73.0
242,2017-04-22,76.0
243,2017-04-23,77.0
244,2017-04-24,77.0
245,2017-04-25,77.0
246,2017-04-26,77.0
247,2017-04-27,78.0
248,2017-04-28,76.0
249,2017-04-29,72.0
250,2017-04-30,63.0
251,2017-05-01,75.0
252,2017-05-02,78.0
253,2017-05-03,78.0
254,2017-05-04,78.0
255,2017-05-05,79.0
256,2017-05-06,79.0
257,2017-05-07,79.0
258,2017-05-08,77.0
259,2017-05-10,78.0
260,2017-05-11,78.0
261,2017-05-12,79.0
262,2017-05-13,79.0
263,2017-05-14,77.0
264,2017-05-15,78.0
265,2017-05-16,78.0
266,2017-05-17,78.0
267,2017-05-18,73.0
268,2017-05-19,76.0
269,2017-05-20,78.0
270,2017-05-21,76.0
271,2017-05-22,77.0
272,2017-05-23,87.0
273,2017-05-24,77.0
274,2017-05-25,77.0
275,2017-05-27,74.0
276,2017-05-28,76.0
277,2017-05-29,75.0
278,2017-05-30,76.0
279,2017-05-31,79.0
280,2017-06-01,79.0
281,2017-06-02,79.0
282,2017-06-03,79.0
283,2017-06-04,79.0
284,2017-06-05,80.0
285,2017-06-06,79.0
286,2017-06-07,79.0
287,2017-06-08,80.0
288,2017-06-09,80.0
289,2017-06-10,77.0
290,2017-06-11,79.0
291,2017-06-12,83.0
292,2017-06-13,80.0
293,2017-06-14,80.0
294,2017-06-15,78.0
295,2017-06-16,79.0
296,2017-06-17,80.0
297,2017-06-18,77.0
298,2017-06-19,80.0
299,2017-06-20,78.0
300,2017-06-21,79.0
301,2017-06-22,80.0
302,2017-06-23,78.0
303,2017-06-24,80.0
304,2017-06-25,80.0
305,2017-06-26,81.0
306,2017-06-27,80.0
307,2017-06-28,79.0
308,2017-06-29,79.0
309,2017-06-30,75.0
310,2017-07-01,80.0
311,2017-07-02,80.0
312,2017-07-03,78.0
313,2017-07-04,80.0
314,2017-07-05,80.0
315,2017-07-06,81.0
316,2017-07-07,79.0
317,2017-07-08,80.0
318,2017-07-09,80.0
319,2017-07-10,80.0
320,2017-07-11,78.0
321,2017-07-12,81.0
322,2017-07-13,79.0
323,2017-07-14,81.0
324,2017-07-15,80.0
325,2017-07-16,78.0
326,2017-07-17,80.0
327,2017-07-18,80.0
328,2017-07-20,80.0
329,2017-07-21,80.0
330,2017-07-22,81.0
331,2017-07-23,81.0
332,2017-07-24,78.0
333,2017-07-25,80.0
334,2017-07-26,82.0
335,2017-07-27,79.0
336,2017-07-28,81.0
337,2017-07-29,81.0
338,2017-07-30,81.0
339,2017-07-31,80.0
340,2017-08-01,77.0
341,2017-08-02,73.0
342,2017-08-03,79.0
343,2017-08-04,80.0
344,2017-08-05,81.0
345,2017-08-06,80.0
346,2017-08-07,80.0
347,2017-08-08,80.0
348,2017-08-09,80.0
349,2017-08-10,81.0
350,2017-08-11,78.0
351,2017-08-12,80.0
352,2017-08-13,81.0
353,2017-08-14,79.0
354,2017-08-15,78.0
355,2017-08-18,80.0
356,2017-08-19,79.0
357,2017-08-20,81.0
358,2017-08-21,81.0
359,2017-08-22,82.0
360,2017-08-23,81.0
